Image,Red,Green,Blue,Contrast,Energy,Correlation,Homogeneity,Freshness
translation_Screen Shot 2018-06-08 at 5.15.45 PM,477196,287373,291774,1107.1820408163267,0.19245644584820085,0.9149023752435357,0.3554450091369782,1
rotated_by_75_Screen Shot 2018-06-08 at 5.22.48 PM,471194,213986,134362,671.7,0.0812660133836934,0.8704455621688623,0.2702853321348272,1
vertical_flip_Screen Shot 2018-06-08 at 5.22.58 PM,493939,346166,334904,821.5297959183674,0.2822073403081177,0.9333483514468351,0.39624207879103923,1
translation_Screen Shot 2018-06-08 at 5.06.54 PM,364401,403797,247793,1043.5179591836736,0.2309823650799469,0.9336581205208924,0.4192214792364636,1
Screen Shot 2018-06-08 at 5.02.38 PM,607970,476532,458727,311.1379591836735,0.34857441570196435,0.9453241139767808,0.48910772481999054,1
Screen Shot 2018-06-08 at 5.13.18 PM,609626,581303,461516,112.65714285714287,0.4280459363376323,0.9224574444024568,0.6022513499716236,1
saltandpepper_Screen Shot 2018-06-08 at 5.32.43 PM,536698,539207,396756,308.0220408163266,0.3497306633105565,0.9383231233963346,0.4194796599294738,1
Screen Shot 2018-06-08 at 5.20.26 PM,561496,381512,345129,462.4383673469388,0.24077412290164973,0.9417260780791284,0.3155311866733833,1
rotated_by_75_Screen Shot 2018-06-08 at 5.13.10 PM,510928,366718,340065,1778.2914285714292,0.2899275355039576,0.8686807827315387,0.42660177000893007,1
Screen Shot 2018-06-08 at 5.28.42 PM,563742,462014,400246,237.48244897959188,0.22786516249356198,0.9618751621457466,0.2993256050947316,1
rotated_by_30_Screen Shot 2018-06-08 at 5.12.34 PM,460175,344156,321150,1744.3318367346938,0.23689561736700998,0.8757645365924521,0.3951176292351487,1
rotated_by_75_Screen Shot 2018-06-08 at 5.09.17 PM,476997,302143,300935,1352.38,0.21292571341566366,0.8937553677700716,0.3804867245611573,1
rotated_by_30_Screen Shot 2018-06-08 at 5.25.37 PM,497016,456982,343488,1386.602448979592,0.2332230754351977,0.8993384174882659,0.4182766727072123,1
rotated_by_15_Screen Shot 2018-06-08 at 5.28.32 PM,501593,378234,323313,1178.198775510204,0.12598301519100927,0.8873765249502287,0.2647027555443747,1
rotated_by_30_Screen Shot 2018-06-08 at 5.21.06 PM,477048,409165,322738,1470.2546938775508,0.23875527561219054,0.8939998227810211,0.4516045040469353,1
rotated_by_75_Screen Shot 2018-06-08 at 5.05.48 PM,436858,466517,320790,1260.382448979592,0.30126582869926954,0.8962965293126025,0.49365801707959656,1
rotated_by_30_Screen Shot 2018-06-08 at 5.07.32 PM,437633,321082,298721,1798.3008163265301,0.3058206675755714,0.8999138753172432,0.4816955272319905,1
rotated_by_75_Screen Shot 2018-06-08 at 5.03.05 PM,403475,465627,288989,887.9040816326531,0.09285781565129668,0.8898281649529443,0.3269943541587127,1
Screen Shot 2018-06-08 at 5.06.10 PM,515278,562240,441666,421.1648979591837,0.43407352496194274,0.9215511452658115,0.5695698570247332,1
saltandpepper_Screen Shot 2018-06-08 at 5.21.56 PM,574032,504534,451888,250.66163265306125,0.2654823590475101,0.956670989151985,0.3759659569417031,1
Screen Shot 2018-06-08 at 5.04.11 PM,497325,397521,378685,888.4726530612243,0.43724669587418785,0.9460628457482131,0.5405166242802002,1
translation_Screen Shot 2018-06-08 at 5.02.08 PM,494524,344238,330011,1402.761632653061,0.23723258690901883,0.9015104638855358,0.45247854229356066,1
rotated_by_15_Screen Shot 2018-06-08 at 5.29.24 PM,473905,493043,380278,1004.2995918367347,0.13829297863000498,0.902079220775506,0.45426288755826877,1
translation_Screen Shot 2018-06-08 at 5.28.38 PM,341188,221759,198981,1273.3085714285714,0.3485715480571416,0.9252492205506618,0.4991960005509206,1
Screen Shot 2018-06-08 at 5.27.13 PM,425522,299083,282463,822.3697959183675,0.2754337006405773,0.955317867099202,0.4681515938578735,1
rotated_by_15_Screen Shot 2018-06-08 at 5.16.28 PM,469552,490413,356490,1602.8583673469384,0.3246814990136476,0.8506788239759638,0.4554547214082686,1
rotated_by_45_Screen Shot 2018-06-08 at 5.17.34 PM,398936,261305,258623,1772.1763265306122,0.17855988300868417,0.8435645487412904,0.3591366731879193,1
rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM,429203,459751,331953,1539.1967346938777,0.15366032412541963,0.8659218667165414,0.4246939042302747,1
rotated_by_75_Screen Shot 2018-06-08 at 5.33.11 PM,469734,269097,265342,1469.641224489796,0.11506874608915581,0.8569942290176845,0.27337149137166933,1
translation_Screen Shot 2018-06-08 at 5.05.27 PM,461827,340797,312151,1593.586530612245,0.3020690830678297,0.897366375282023,0.43497649484348655,1
rotated_by_30_Screen Shot 2018-06-08 at 5.17.04 PM,455370,266027,281834,1895.7097959183673,0.17210314313917688,0.8373031791586039,0.3229486482629472,1
rotated_by_30_Screen Shot 2018-06-08 at 5.29.13 PM,461055,473377,348966,1060.7432653061226,0.13740772527565934,0.9164420144116215,0.486277789922237,1
Screen Shot 2018-06-08 at 5.23.26 PM,558795,576941,457375,87.79142857142857,0.3586920336589765,0.9688093303028003,0.5704585508581411,1
rotated_by_15_Screen Shot 2018-06-08 at 5.05.41 PM,542018,471842,303971,1398.2710204081632,0.17536063869256852,0.8506704658192502,0.4551701947979868,1
rotated_by_45_Screen Shot 2018-06-08 at 5.12.20 PM,302333,336472,264733,958.6914285714286,0.14987652838564464,0.9270245877178406,0.2871140031444522,1
Screen Shot 2018-06-08 at 5.18.37 PM,539908,421876,410143,593.7110204081633,0.43542814291049675,0.9515978069087273,0.5128510341743601,1
rotated_by_75_Screen Shot 2018-06-08 at 5.28.38 PM,463758,339627,314827,1353.8334693877553,0.1313569331949238,0.8969593828839892,0.27867547667788484,1
rotated_by_75_Screen Shot 2018-06-08 at 5.03.59 PM,445555,470541,336640,1513.2179591836734,0.24305634087521794,0.863800262388584,0.3989732747367959,1
rotated_by_15_Screen Shot 2018-06-08 at 5.28.15 PM,490623,364043,323063,1193.7787755102042,0.11705251440569901,0.8907978155246074,0.2588529895101095,1
saltandpepper_Screen Shot 2018-06-08 at 5.06.40 PM,502046,355159,364726,794.8881632653063,0.08455040712659403,0.9229383347540975,0.26813431850147323,1
rotated_by_15_Screen Shot 2018-06-08 at 5.07.32 PM,470598,355162,328945,1799.6179591836735,0.3256036587743556,0.8915422174265607,0.471663470754363,1
rotated_by_15_Screen Shot 2018-06-08 at 5.22.58 PM,429882,282001,270806,1983.110612244898,0.19722692254209845,0.8533505586810004,0.3622912091429914,1
vertical_flip_Screen Shot 2018-06-08 at 5.21.22 PM,531999,409336,375672,434.3820408163266,0.35629204779733037,0.9569511849843637,0.42793069397777644,1
vertical_flip_Screen Shot 2018-06-08 at 5.20.17 PM,502027,523963,381100,395.4497959183674,0.33707156927794063,0.9330913375885709,0.4839373022901857,1
Screen Shot 2018-06-08 at 5.10.21 PM,501833,421106,387187,670.6073469387757,0.37499043441916297,0.9511416547604192,0.47610937297507055,1
Screen Shot 2018-06-08 at 5.06.33 PM,561659,572272,454647,31.59673469387755,0.09609319716092331,0.9710302719893762,0.5668154555314936,1
rotated_by_30_Screen Shot 2018-06-08 at 5.10.37 PM,440624,283043,283234,1483.9020408163265,0.17739378447072582,0.891073888110713,0.35221213603107415,1
rotated_by_15_Screen Shot 2018-06-08 at 5.13.02 PM,355971,256790,265859,1593.4730612244896,0.12150897698063491,0.8957658003953076,0.34614748834714015,1
vertical_flip_Screen Shot 2018-06-08 at 5.02.48 PM,491206,521733,394028,412.28734693877556,0.1820874837226504,0.9293995871631129,0.48738486955560034,1
translation_Screen Shot 2018-06-08 at 5.02.24 PM,420983,453367,300923,1434.4579591836737,0.24534415135291496,0.8925746735442589,0.44058984043341026,1
rotated_by_30_Screen Shot 2018-06-08 at 5.28.38 PM,433782,309697,285147,1284.1644897959181,0.1527267092885604,0.9091805119758302,0.28551865011991406,1
rotated_by_30_Screen Shot 2018-06-08 at 5.02.48 PM,396900,427268,299871,1636.9665306122452,0.1735927532521859,0.8823686158281615,0.40435861417532337,1
rotated_by_45_Screen Shot 2018-06-08 at 5.27.54 PM,392347,324056,249558,1931.8220408163265,0.18523755811464518,0.8679170741515279,0.3633910510787836,1
Screen Shot 2018-06-08 at 5.01.29 PM,533895,410902,408911,657.5648979591836,0.41261097102607275,0.9510999490653238,0.5012965979798955,1
rotated_by_60_Screen Shot 2018-06-08 at 5.16.37 PM,441465,457896,287474,1450.786530612245,0.18155214909354042,0.8822017717441278,0.37779190740372814,1
rotated_by_15_Screen Shot 2018-06-08 at 5.06.19 PM,495784,510882,396853,991.8081632653062,0.20166693916542988,0.9023399414808254,0.5206496631697551,1
vertical_flip_Screen Shot 2018-06-08 at 5.16.37 PM,540901,557345,386826,152.37673469387755,0.27104791475855416,0.9394314952922502,0.38554979928502997,1
translation_Screen Shot 2018-06-08 at 5.10.03 PM,432697,330746,338830,1874.9412244897965,0.29244463588212144,0.8877899331778982,0.45956765545476147,1
vertical_flip_Screen Shot 2018-06-08 at 5.10.21 PM,501833,421106,387187,670.6073469387757,0.37499043441916297,0.9511416547604192,0.47610937297507055,1
saltandpepper_Screen Shot 2018-06-08 at 5.09.25 PM,514867,405035,412771,786.1061224489797,0.299293907358788,0.9282867616352165,0.38352027265001043,1
rotated_by_75_Screen Shot 2018-06-08 at 5.12.34 PM,493695,377717,354210,1715.2208163265304,0.258568609748983,0.8604704594164581,0.40297590213779455,1
vertical_flip_Screen Shot 2018-06-08 at 5.34.01 PM,523262,383202,361375,690.490612244898,0.22582958268679754,0.9182420340689224,0.32603709924393387,1
rotated_by_15_Screen Shot 2018-06-08 at 5.25.37 PM,531083,490860,377367,1410.742448979592,0.24024959255365885,0.8628910342986147,0.4170993438840317,1
translation_Screen Shot 2018-06-08 at 5.09.40 PM,370527,238394,244721,1435.600816326531,0.2979224187550085,0.9108725077057863,0.46551666621532095,1
rotated_by_75_Screen Shot 2018-06-08 at 5.08.05 PM,403228,307813,303706,1118.6616326530614,0.19838792200341904,0.9310578614213145,0.36993787393238287,1
rotated_by_30_Screen Shot 2018-06-08 at 5.18.16 PM,471586,361009,320418,1423.6248979591837,0.14203201943202817,0.8999559471364764,0.42643171566847304,1
Screen Shot 2018-06-08 at 5.34.21 PM,483000,522054,368465,349.9257142857143,0.23833816567255847,0.9332830182156053,0.47407861838151955,1
Screen Shot 2018-06-08 at 5.33.55 PM,510249,525220,373793,270.7081632653061,0.26079540652583,0.9456378160578612,0.3998461008599673,1
rotated_by_60_Screen Shot 2018-06-08 at 5.19.58 PM,468509,369999,335988,1821.3702040816324,0.28196091487598235,0.8821411686249259,0.44535849389779714,1
Screen Shot 2018-06-08 at 5.10.03 PM,523601,419372,426827,651.941224489796,0.34326870342175775,0.9410672260734481,0.4308299836318141,1
Screen Shot 2018-06-08 at 5.00.03 PM,546830,377835,376529,561.6400000000001,0.28468912292130916,0.9445725352948655,0.37487663874555616,1
Screen Shot 2018-06-08 at 5.21.31 PM,556586,456897,428057,431.32000000000005,0.33723240892000456,0.9497623415680473,0.44296122761147755,1
rotated_by_15_Screen Shot 2018-06-08 at 5.12.34 PM,494278,378269,354788,1670.1363265306122,0.2464420708686813,0.8637372852553709,0.38622429580275214,1
saltandpepper_Screen Shot 2018-06-08 at 5.28.42 PM,562264,461344,400004,458.8465306122449,0.22660065105906363,0.9276524198010552,0.2974324388302407,1
rotated_by_15_Screen Shot 2018-06-08 at 5.09.17 PM,478924,304374,303118,1686.1477551020407,0.18900493504858462,0.8640890116663865,0.33206601597280283,1
Screen Shot 2018-06-08 at 5.04.31 PM,511076,529618,404706,451.0579591836735,0.3968623293471056,0.9205080596054284,0.5070018915178928,1
vertical_flip_Screen Shot 2018-06-08 at 5.19.28 PM,481478,407840,390730,616.2020408163266,0.3383085052601574,0.953231539307295,0.43984873931476337,1
vertical_flip_Screen Shot 2018-06-08 at 5.01.34 PM,560191,454041,424155,348.4775510204082,0.3524994941524871,0.9583355568472709,0.43427494595931326,1
rotated_by_15_Screen Shot 2018-06-08 at 5.23.26 PM,493507,511623,392505,1024.035918367347,0.28692237303250784,0.9032430416339103,0.5144402366903607,1
saltandpepper_Screen Shot 2018-06-08 at 5.04.42 PM,525302,556726,445744,326.3693877551021,0.3567072562184577,0.9180992989257056,0.4245952774865366,1
rotated_by_45_Screen Shot 2018-06-08 at 5.33.47 PM,374934,396846,232224,1487.4979591836736,0.15548850885142493,0.8747888309182714,0.2745948701998381,1
rotated_by_30_Screen Shot 2018-06-08 at 5.11.02 PM,446816,241818,257910,1863.241224489796,0.14210970649366914,0.830002425736949,0.27576037713101065,1
rotated_by_75_Screen Shot 2018-06-08 at 5.34.14 PM,449835,278824,254406,1975.1791836734694,0.17325965712769087,0.8309093974875736,0.3104649384292743,1
rotated_by_15_Screen Shot 2018-06-08 at 5.32.50 PM,410747,454342,302068,1243.3991836734695,0.08460851365607588,0.8545357613874114,0.3071730500285491,1
rotated_by_15_Screen Shot 2018-06-08 at 5.11.52 PM,444287,334453,318692,1972.2048979591837,0.30765155514573655,0.8840448048907709,0.45599900261320625,1
saltandpepper_Screen Shot 2018-06-08 at 5.28.48 PM,569512,467040,415279,292.47551020408156,0.24934032081709692,0.9517384578208308,0.33259843006551054,1
translation_Screen Shot 2018-06-08 at 5.04.11 PM,390031,291447,272834,1988.985306122449,0.3287397211293912,0.9007434381643856,0.5347927273711585,1
vertical_flip_Screen Shot 2018-06-08 at 5.33.47 PM,480070,503788,326809,221.87755102040816,0.07949968501007644,0.9431093151124403,0.23904769979491547,1
vertical_flip_Screen Shot 2018-06-08 at 5.00.26 PM,495592,530018,395561,257.185306122449,0.37595437351106736,0.9528779589388067,0.47512897296143747,1
rotated_by_60_Screen Shot 2018-06-08 at 5.17.04 PM,453565,264508,280351,1763.571836734694,0.17168663763096,0.8484516304311501,0.32213788090984696,1
vertical_flip_Screen Shot 2018-06-08 at 5.06.33 PM,561659,572272,454647,31.59673469387755,0.09609319716092331,0.9710302719893762,0.5668154555314936,1
Screen Shot 2018-06-08 at 5.19.28 PM,481478,407840,390730,616.2020408163266,0.3383085052601574,0.953231539307295,0.43984873931476337,1
saltandpepper_Screen Shot 2018-06-08 at 5.15.28 PM,557763,565015,473527,357.6918367346939,0.4664484724233455,0.9095596012068025,0.5726755020282364,1
rotated_by_30_Screen Shot 2018-06-08 at 5.07.18 PM,414858,419127,324555,1437.7404081632653,0.19603334211384774,0.899549183649702,0.42085998421272597,1
rotated_by_15_Screen Shot 2018-06-08 at 5.33.33 PM,482167,323502,271887,1192.038775510204,0.14921144943691617,0.8822558200464747,0.30440899328880355,1
saltandpepper_Screen Shot 2018-06-08 at 5.29.07 PM,517132,550737,431945,392.3167346938775,0.31597333804297345,0.9031525162995002,0.3949665805448413,1
rotated_by_60_Screen Shot 2018-06-08 at 5.28.59 PM,418050,440128,337862,1516.290612244898,0.32804305342128365,0.9061698153458243,0.5265745281332264,1
Screen Shot 2018-06-08 at 5.26.52 PM,514417,386110,363873,607.6044897959184,0.21539595765843308,0.9486753373242883,0.430558181664652,1
rotated_by_15_Screen Shot 2018-06-08 at 5.21.56 PM,511385,441500,388683,1134.6379591836735,0.20523388999951134,0.9046246197434822,0.36553993692114306,1
rotated_by_30_Screen Shot 2018-06-08 at 5.21.51 PM,459133,341825,329917,1453.0277551020404,0.2273861395874166,0.9108708926077053,0.4108154756652551,1
rotated_by_15_Screen Shot 2018-06-08 at 5.14.01 PM,441542,488335,337932,1470.4726530612245,0.24559441784332506,0.8576200539132984,0.46842379109629123,1
rotated_by_60_Screen Shot 2018-06-08 at 5.07.18 PM,406622,410841,316305,1437.0938775510203,0.20223388013399854,0.902638213052746,0.4237490283845247,1
rotated_by_75_Screen Shot 2018-06-08 at 5.02.24 PM,450864,483776,329339,1328.8591836734693,0.23870415818615368,0.8730258482554942,0.4153377692639079,1
rotated_by_75_Screen Shot 2018-06-08 at 5.07.26 PM,455939,477884,352551,1577.9012244897958,0.2439365482391828,0.8527346191606532,0.4263047456652503,1
rotated_by_60_Screen Shot 2018-06-08 at 5.21.31 PM,458715,359405,331133,1708.8873469387754,0.2722127692696213,0.8896192649024769,0.45983921952158446,1
Screen Shot 2018-06-08 at 5.26.58 PM,552743,511807,399554,292.0522448979592,0.12585732652055046,0.9318029674237672,0.38407586055217596,1
Screen Shot 2018-06-08 at 5.04.59 PM,582076,494490,456834,235.04938775510206,0.2836241331344941,0.9614139966099289,0.385651313661992,1
rotated_by_45_Screen Shot 2018-06-08 at 5.01.34 PM,451676,345647,315480,1661.991428571429,0.25392971443896056,0.8923902458619217,0.415892893179262,1
vertical_flip_Screen Shot 2018-06-08 at 5.18.51 PM,506384,537639,392204,234.330612244898,0.3117674086845313,0.9478274024122109,0.4642538539701905,1
rotated_by_30_Screen Shot 2018-06-08 at 5.22.53 PM,457337,299951,309271,1686.4873469387753,0.18017576683737252,0.8600046885402193,0.35049608507964886,1
saltandpepper_Screen Shot 2018-06-08 at 5.10.29 PM,556156,388223,390593,609.3648979591837,0.2168080893443889,0.9318595382774082,0.3437204134481557,1
vertical_flip_Screen Shot 2018-06-08 at 5.17.22 PM,534225,397983,393918,497.09469387755104,0.3742547780596236,0.955367182992589,0.44263945959930295,1
rotated_by_30_Screen Shot 2018-06-08 at 4.59.44 PM,402037,425533,295019,1443.502857142857,0.2576509395750189,0.89807446339687,0.43783419745052055,1
rotated_by_30_Screen Shot 2018-06-08 at 5.22.58 PM,395729,247927,236571,2164.835918367347,0.18736983542445876,0.8372872896227829,0.36645821673685597,1
rotated_by_30_Screen Shot 2018-06-08 at 5.05.12 PM,448630,343296,322183,1326.9808163265302,0.2124565271454308,0.9163674445778901,0.3630503728724478,1
vertical_flip_Screen Shot 2018-06-08 at 5.16.57 PM,560166,403688,380081,320.2155102040815,0.2609288824870708,0.9639526541024704,0.3762409862545228,1
rotated_by_45_Screen Shot 2018-06-08 at 5.26.36 PM,398441,274911,256404,1719.7918367346933,0.202966955864359,0.8725585070717914,0.386418837994451,1
rotated_by_45_Screen Shot 2018-06-08 at 5.23.51 PM,299896,319907,148784,524.9391836734694,0.18654869737719385,0.9542584787367195,0.3171011446848458,1
rotated_by_45_Screen Shot 2018-06-08 at 5.28.48 PM,463054,360084,308377,1325.1310204081633,0.18056738748845677,0.9051131269424444,0.33247024046692925,1
rotated_by_60_Screen Shot 2018-06-08 at 5.27.34 PM,354525,227523,227901,2027.0236734693867,0.19076251560365196,0.8652696064972929,0.37846940074458907,1
vertical_flip_Screen Shot 2018-06-08 at 5.20.51 PM,551414,405054,371885,346.1208163265307,0.28990253859279835,0.958288095266641,0.3623536598766186,1
rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM,542792,411746,393674,1553.0040816326532,0.26957229300848207,0.8678532702476977,0.4554468635240947,1
rotated_by_15_Screen Shot 2018-06-08 at 5.15.01 PM,447718,313139,300956,1741.7693877551023,0.20931872196150658,0.8898818750673769,0.3909610066079141,1
rotated_by_30_Screen Shot 2018-06-08 at 5.23.07 PM,425201,451795,306658,1602.0330612244898,0.20219742435878385,0.876571068302762,0.3952961744553233,1
translation_Screen Shot 2018-06-08 at 5.15.21 PM,424325,282798,290224,1849.701224489796,0.11411795267192838,0.8622926400067622,0.3011990808565177,1
rotated_by_15_Screen Shot 2018-06-08 at 5.23.23 PM,498287,517001,393211,1081.6506122448982,0.261819475467883,0.8921765601101156,0.5298657395146353,1
translation_Screen Shot 2018-06-08 at 5.07.18 PM,406412,410640,316406,1267.4163265306122,0.22946164108922856,0.9205137261442944,0.460769566562699,1
rotated_by_60_Screen Shot 2018-06-08 at 5.00.35 PM,380076,288431,269564,2001.7195918367352,0.2834267022415558,0.8915223929053981,0.47790584669796454,1
rotated_by_30_Screen Shot 2018-06-08 at 5.19.35 PM,423391,274290,267264,1944.3363265306123,0.15174536421315565,0.8610393085709251,0.3351931876896863,1
rotated_by_60_Screen Shot 2018-06-08 at 5.11.35 PM,429252,448155,362722,1592.62,0.27216104941374786,0.8886036475462373,0.4341347111565954,1
Screen Shot 2018-06-08 at 5.00.43 PM,503324,388974,386366,554.9273469387756,0.3245484480428622,0.9549050840844717,0.47088012219258757,1
rotated_by_60_Screen Shot 2018-06-08 at 5.16.49 PM,433396,300783,303979,2179.9897959183672,0.17948466189824233,0.8444543157465134,0.311583210365315,1
rotated_by_45_Screen Shot 2018-06-08 at 5.13.31 PM,476715,315642,300349,1704.169387755102,0.21855018094479756,0.8789848669121787,0.3951214751207298,1
rotated_by_30_Screen Shot 2018-06-08 at 5.17.58 PM,394105,239150,227915,1604.6102040816324,0.14705126079973102,0.8637742056292188,0.2839089896370828,1
vertical_flip_Screen Shot 2018-06-08 at 5.16.33 PM,507907,537204,395095,322.28979591836736,0.3583566545752765,0.943459100115987,0.4467722312247516,1
rotated_by_75_Screen Shot 2018-06-08 at 5.04.59 PM,514945,427389,389807,1393.4461224489798,0.20605090696207018,0.8857064182547664,0.365701331828946,1
rotated_by_75_Screen Shot 2018-06-08 at 5.01.08 PM,430778,323716,313852,1545.8897959183676,0.28096430605055334,0.9061179700274159,0.47353169515058213,1
vertical_flip_Screen Shot 2018-06-08 at 5.01.22 PM,568179,403181,369900,422.7077551020409,0.3009802117748773,0.9492605425991912,0.37020903272005495,1
saltandpepper_Screen Shot 2018-06-08 at 5.14.44 PM,519775,416184,404564,795.5420408163266,0.41089372427031706,0.9424436185050292,0.47338682097571916,1
rotated_by_15_Screen Shot 2018-06-08 at 5.16.16 PM,487817,379124,365651,1741.2616326530615,0.32743980564733677,0.8789175077117497,0.4446968298048273,1
rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM,473580,373406,342311,1791.0555102040819,0.2640865217350161,0.8686286440466473,0.4021042295330668,1
rotated_by_45_Screen Shot 2018-06-08 at 5.00.03 PM,437955,269067,267888,1788.3036734693876,0.20699089630630127,0.869428615686389,0.38402598130337484,1
saltandpepper_Screen Shot 2018-06-08 at 5.01.29 PM,532884,410428,408477,786.618775510204,0.40486154378707173,0.941427817160409,0.4906287379407036,1
rotated_by_45_Screen Shot 2018-06-08 at 5.19.35 PM,412431,262084,257491,1803.4085714285713,0.16560617766496416,0.8721500515396189,0.33681122059038615,1
rotated_by_75_Screen Shot 2018-06-08 at 5.00.12 PM,463441,364396,331642,1403.5595918367349,0.2675644854097072,0.900987336653891,0.4139405533503551,1
rotated_by_45_Screen Shot 2018-06-08 at 5.20.56 PM,377317,258394,251400,1588.7738775510204,0.21824410025693616,0.8974233786331757,0.451638439001235,1
translation_Screen Shot 2018-06-08 at 5.09.17 PM,449625,276241,274622,1670.646530612245,0.22389178233189302,0.8791683664629608,0.38928227006394933,1
rotated_by_45_Screen Shot 2018-06-08 at 5.15.28 PM,453533,459056,373291,1421.5991836734697,0.3656702096253037,0.9129751414020757,0.5694989972033673,1
translation_Screen Shot 2018-06-08 at 5.11.52 PM,422237,314889,299525,2033.6873469387756,0.32092081696608965,0.8910421951897309,0.4970964535327665,1
vertical_flip_Screen Shot 2018-06-08 at 5.11.41 PM,497624,417500,403259,749.4179591836735,0.44942371355144806,0.9527646404239013,0.5464883958535552,1
rotated_by_45_Screen Shot 2018-06-08 at 5.21.51 PM,446057,328715,316772,1490.6881632653062,0.22056154904686098,0.9108342009549472,0.416572741426189,1
rotated_by_75_Screen Shot 2018-06-08 at 5.09.31 PM,476694,335640,341682,1174.2991836734695,0.1893952320832287,0.9094742932916106,0.3674684011422308,1
translation_Screen Shot 2018-06-08 at 5.12.34 PM,463717,350107,325789,1655.7138775510202,0.26555937677021924,0.8853842628009132,0.43297081026979495,1
rotated_by_15_Screen Shot 2018-06-08 at 5.29.13 PM,494342,506736,381989,961.0404081632653,0.0981897796089719,0.8944116291845684,0.4886259782896138,1
rotated_by_45_Screen Shot 2018-06-08 at 5.27.06 PM,357973,423548,236974,1093.0779591836733,0.15067804546810767,0.8970855951733531,0.33851175433972147,1
Screen Shot 2018-06-08 at 5.22.53 PM,556106,398694,407992,435.3942857142857,0.26442412261001413,0.9420739340812273,0.37823263828040565,1
saltandpepper_Screen Shot 2018-06-08 at 5.21.06 PM,569965,501765,414423,466.36285714285714,0.3228970021062127,0.9126891066613637,0.4542886504984992,1
vertical_flip_Screen Shot 2018-06-08 at 5.25.54 PM,509870,549685,414159,211.79428571428573,0.3182624107542789,0.9444463118948119,0.4317070405513965,1
vertical_flip_Screen Shot 2018-06-08 at 5.28.15 PM,554158,427301,385983,206.66612244897962,0.15081038899140353,0.9703196381393447,0.2587339763948183,1
rotated_by_75_Screen Shot 2018-06-08 at 5.04.05 PM,468343,309170,308137,1569.5453061224487,0.199208554819322,0.8791609376889218,0.36615351291859166,1
rotated_by_75_Screen Shot 2018-06-08 at 5.16.33 PM,440578,468944,330067,1203.718367346939,0.32354798504328947,0.9039675158664541,0.5112803977753027,1
vertical_flip_Screen Shot 2018-06-08 at 5.05.34 PM,528077,558187,434731,218.46204081632646,0.3756070194625685,0.934688826389415,0.4984599082255239,1
